Country,Region,Ladder,Social Support,Freedom,Corruption,Donation,Generosity,Positive Affect,Negative Affect,Happiness (Yesterday),GDP per capita,Healthy life expectancy
Afghanistan,4,4.04,0.525,0.54,0.755,0.348,0.207,0.663,0.27,0.721,979,36.535
Albania,1,5.55,0.759,0.553,0.827,0.112,-0.192,0.627,0.276,0.568,7652,61.417
Algeria,8,5.422,0.831,0.551,0.681,0.106,-0.194,0.567,0.245,0.542,7547,61.722
Angola,9,5.589,0.723,0.584,0.912,0.322,0.046,0.659,0.361,0.708,5172,34.601
Argentina,6,6.562,0.906,0.764,0.81,0.199,-0.15,0.847,0.238,0.813,14379,65.543
Armenia,2,4.316,0.681,0.476,0.915,0.079,-0.194,0.501,0.45,0.488,4941,61.453
Australia,7,7.35,0.955,0.937,0.362,0.715,0.303,0.82,0.21,0.863,34571,72.948
Austria,0,7.369,0.929,0.913,0.642,0.532,0.119,0.81,0.153,0.89,35211,72.148
Azerbaijan,2,4.604,0.725,0.546,0.81,0.188,-0.127,0.539,0.265,0.455,8796,58.205
Bahrain,8,5.312,0.901,0.828,0.508,0.366,-0.012,0.591,0.459,0.577,21693,64.405
Bangladesh,4,4.804,0.58,0.707,0.767,0.161,-0.025,0.691,0.215,0.702,1523,54.965
Belarus,2,5.504,0.91,0.667,0.688,0.145,-0.194,0.538,0.213,0.437,12438,61.319
Belgium,0,6.967,0.932,0.848,0.724,0.384,-0.024,0.828,0.235,0.821,32789,71.55
Benin,9,3.528,0.5,0.771,0.829,0.066,-0.118,0.604,0.225,0.543,1425,45.28
Bolivia,6,5.857,0.802,0.784,0.813,0.218,-0.046,0.77,0.373,0.773,4365,55.439
Bosnia and Herzegovina,1,4.813,0.759,0.372,0.939,0.236,-0.067,0.554,0.358,0.592,7487,64.455
Botswana,9,3.97,0.854,0.813,0.815,0.115,-0.224,0.734,0.168,0.732,12426,36.168
Brazil,6,6.849,0.904,0.829,0.646,0.252,-0.07,0.794,0.288,0.853,9942,60.5
Bulgaria,1,3.981,0.846,0.599,0.945,0.154,-0.179,0.55,0.246,0.456,11567,66.051
Burkina Faso,9,4.259,0.742,0.645,0.734,0.093,-0.075,0.571,0.24,0.497,1124,36.653
Burundi,9,3.706,0.422,0.49,0.677,0.048,-0.066,0.689,0.19,0.683,524,36.291
Cambodia,3,4.067,0.673,0.941,0.852,0.535,0.327,0.798,0.361,0.814,1977,48.873
Cameroon,9,4.42,0.747,0.792,0.881,0.185,-0.026,0.607,0.276,0.576,2050,42.807
Canada,7,7.477,0.942,0.932,0.437,0.653,0.247,0.872,0.236,0.911,35294,72.082
Central African Republic,9,3.623,0.435,0.735,0.839,0.11,-0.024,0.524,0.267,0.477,702,39.56
Chad,9,4.056,0.742,0.536,0.873,0.167,-0.01,0.554,0.297,0.515,1292,41.886
Chile,6,6.587,0.844,0.74,0.744,0.479,0.129,0.809,0.302,0.792,14527,67.878
China,5,4.978,0.782,0.812,0.808,0.115,-0.186,0.808,0.153,0.785,6993,64.726
Colombia,6,6.416,0.904,0.818,0.843,0.257,-0.055,0.836,0.281,0.831,8536,62.697
Comoros,9,3.851,0.721,0.518,0.72,0.146,-0.013,0.668,0.184,0.681,985,55.732
Congo (Brazzaville),9,4.297,0.634,0.771,0.822,0.1,-0.154,0.59,0.3,0.491,3831,47.308
Congo (Kinshasa),9,4.578,0.757,0.594,0.843,0.085,0.006,0.625,0.219,0.576,323,37.797
Costa Rica,6,7.257,0.903,0.912,0.802,0.341,0.015,0.886,0.251,0.881,10440,67.385
Croatia,1,5.661,0.788,0.541,0.957,0.123,-0.234,0.608,0.267,0.614,15996,67.409
Cyprus,0,6.466,0.82,0.745,0.846,0.5,0.109,0.771,0.301,0.737,25909,68.041
Czech Republic,1,6.29,0.924,0.771,0.942,0.287,-0.097,0.623,0.249,0.475,23492,69.322
Denmark,0,7.693,0.963,0.937,0.176,0.629,0.222,0.776,0.179,0.647,32333,71.228
Djibouti,9,4.69,0.633,0.755,0.557,0.13,-0.084,0.579,0.181,0.673,2087,44.038
Dominican Republic,6,4.963,0.87,0.837,0.768,0.264,-0.046,0.798,0.293,0.835,8308,60.201
Ecuador,6,5.865,0.814,0.779,0.745,0.191,-0.11,0.845,0.275,0.837,7303,62.47
Egypt,8,4.273,0.75,0.527,0.878,0.155,-0.126,0.532,0.364,0.522,5513,59.792
El Salvador,6,5.809,0.765,0.7,0.724,0.151,-0.136,0.84,0.335,0.839,5979,60.144
Estonia,1,5.426,0.899,0.716,0.751,0.181,-0.182,0.649,0.202,0.558,17434,66.911
Ethiopia,9,4.561,0.659,0.776,0.918,0.103,-0.054,0.668,0.137,0.732,979,43.343
Finland,0,7.389,0.934,0.924,0.356,0.459,0.055,0.801,0.203,0.857,31257,72.409
France,0,6.764,0.935,0.859,0.623,0.271,-0.137,0.77,0.262,0.768,29571,72.693
Gabon,9,4.114,0.694,0.67,0.835,0.111,-0.235,0.532,0.265,0.456,13804,52.727
Georgia,2,4.187,0.525,0.616,0.375,0.032,-0.235,0.525,0.246,0.527,4564,64.93
Germany,0,6.672,0.942,0.894,0.678,0.451,0.046,0.799,0.168,0.865,34056,73.065
Ghana,9,5.091,0.716,0.808,0.854,0.263,0.075,0.762,0.182,0.8,1511,50.926
Greece,0,5.435,0.844,0.462,0.954,0.059,-0.326,0.602,0.322,0.471,23864,72.06
Guatemala,6,5.965,0.81,0.774,0.835,0.33,0.067,0.852,0.291,0.851,4309,58.208
Guinea,9,3.847,0.57,0.721,0.77,0.19,0.032,0.689,0.272,0.648,986,46.641
Haiti,6,4.341,0.623,0.422,0.765,0.407,0.245,0.592,0.274,0.634,1030,44.413
Honduras,6,5.142,0.782,0.712,0.867,0.301,0.053,0.82,0.288,0.813,3528,59.36
Hong Kong,5,5.523,0.842,0.888,0.278,0.661,0.235,0.721,0.188,0.798,42689,70.062
Hungary,1,4.775,0.898,0.572,0.953,0.227,-0.134,0.65,0.285,0.635,16987,66.325
Iceland,0,7.355,0.978,0.898,0.747,0.651,0.24,0.9,0.157,0.907,34636,73.587
India,4,4.772,0.554,0.71,0.855,0.259,0.022,0.649,0.27,0.667,3073,54.588
Indonesia,3,5.348,0.827,0.779,0.963,0.69,0.41,0.877,0.235,0.859,3968,59.3
Iran,8,4.643,0.596,0.601,0.873,0.51,0.184,0.602,0.488,0.609,10462,58.35
Iraq,8,4.817,0.763,0.36,0.828,0.2,-0.033,0.472,0.489,0.454,3290,57.881
Ireland,0,7.076,0.971,0.903,0.595,0.749,0.335,0.859,0.209,0.895,35902,71.406
Israel,8,7.301,0.893,0.657,0.888,0.524,0.133,0.694,0.355,0.713,25988,68.155
Italy,0,6.021,0.881,0.611,0.923,0.401,0.032,0.648,0.32,0.581,27000,73.643
Jamaica,6,5.374,0.855,0.796,0.914,0.219,-0.079,0.836,0.237,0.834,7001,65.934
Japan,5,6.064,0.908,0.78,0.727,0.284,-0.118,0.789,0.178,0.786,30478,75.134
Jordan,8,5.414,0.867,0.747,0.739,0.175,-0.103,0.599,0.311,0.61,5255,61.415
Kazakhstan,2,5.671,0.9,0.835,0.835,0.134,-0.195,0.71,0.163,0.654,10934,57.843
Kenya,9,4.403,0.828,0.658,0.918,0.245,0.057,0.762,0.182,0.771,1479,46.546
Kosovo,1,5.222,0.742,0.56,0.946,0.341,0.038,0.662,0.114,0.574,7487,58.926
Kuwait,8,6.515,0.886,0.776,0.522,0.381,-0.05,0.781,0.163,0.751,46086,67.36
Kyrgyzstan,2,5.042,0.878,0.724,0.921,0.123,-0.088,0.674,0.152,0.657,2069,56.342
Laos,3,4.787,0.692,0.882,0.582,0.586,0.365,0.908,0.305,0.909,2388,48.268
Latvia,1,5.046,0.844,0.564,0.924,0.326,-0.021,0.562,0.227,0.418,13900,65.267
Lebanon,8,4.931,0.723,0.652,0.899,0.355,0.016,0.536,0.332,0.557,12465,61.059
Lesotho,9,4.898,0.824,0.618,0.769,0.096,-0.089,0.793,0.17,0.796,1448,40.358
Liberia,9,4.196,0.812,0.846,0.829,0.113,0.007,0.582,0.225,0.613,473,37.184
Libya,8,5.34,0.836,0.643,0.787,0.399,0.232,0.645,0.301,0.631,15361,64.113
Lithuania,1,5.426,0.904,0.529,0.963,0.121,-0.236,0.54,0.275,0.462,16154,65.797
Luxembourg,0,7.054,0.934,0.929,0.384,0.542,0.082,0.82,0.215,0.86,68312,72.839
Macedonia,1,4.574,0.756,0.578,0.886,0.23,-0.088,0.598,0.366,0.664,9292,62.855
Madagascar,9,3.966,0.746,0.516,0.878,0.094,-0.055,0.599,0.214,0.448,861,49.479
Malawi,9,4.113,0.608,0.685,0.869,0.254,0.112,0.764,0.235,0.771,785,37.253
Malaysia,3,5.76,0.817,0.82,0.847,0.351,0.006,0.862,0.174,0.882,13626,64.213
Mali,9,4.247,0.79,0.759,0.773,0.1,-0.056,0.745,0.134,0.712,957,38.648
Malta,0,5.964,0.918,0.849,0.849,0.68,0.299,0.726,0.369,0.809,22697,73.487
Mauritania,9,4.758,0.78,0.592,0.735,0.272,0.057,0.771,0.161,0.804,2186,45.232
Mauritius,9,5.477,0.8,0.848,0.849,0.517,0.179,0.738,0.253,0.732,12283,61.622
Mexico,6,7.088,0.809,0.796,0.669,0.249,-0.094,0.8,0.25,0.819,12520,66.225
Moldova,2,5.791,0.848,0.61,0.95,0.204,-0.028,0.573,0.292,0.526,2791,60.361
Mongolia,5,4.834,0.924,0.673,0.937,0.393,0.14,0.698,0.161,0.753,3756,56.603
Montenegro,1,5.299,0.775,0.52,0.732,0.115,-0.21,0.59,0.389,0.691,10184,62.609
Morocco,8,4.885,0.73,0.675,0.866,0.074,-0.189,0.671,0.239,0.654,4264,60.865
Mozambique,9,4.971,0.818,0.639,0.719,0.102,-0.043,0.592,0.243,0.644,823,38.211
Myanmar,3,4.439,0.612,0.691,0.695,0.856,0.676,0.764,0.205,0.75,1325,54.795
Nepal,4,4.156,0.747,0.58,0.907,0.236,0.076,0.711,0.224,0.739,1087,52.79
Netherlands,0,7.512,0.945,0.908,0.378,0.728,0.312,0.859,0.205,0.844,36854,72.338
New Zealand,7,7.221,0.951,0.918,0.273,0.658,0.271,0.86,0.216,0.91,24478,71.115
Nicaragua,6,5.507,0.853,0.807,0.738,0.239,-0.004,0.8,0.277,0.772,3270,62.47
Niger,9,4.152,0.724,0.777,0.614,0.077,-0.05,0.683,0.145,0.707,639,36.664
Nigeria,9,5.248,0.812,0.66,0.907,0.264,0.05,0.797,0.194,0.829,2160,42.953
North Cyprus,0,5.463,0.871,0.693,0.871,0.436,0.045,0.709,0.405,0.79,25909,68.041
Norway,0,7.655,0.942,0.947,0.421,0.498,0.063,0.823,0.213,0.749,48071,72.492
Oman,8,6.853,0.852,0.916,0.451,0.394,0.007,0.295,0.893,24559,61.685,
Pakistan,4,5.292,0.542,0.368,0.854,0.385,0.163,0.655,0.345,0.682,2405,53.735
Palestine,8,4.7,0.778,0.523,0.747,0.103,-0.103,0.599,0.383,0.6,1924,61.203
Panama,6,7.143,0.9,0.789,0.842,0.345,0.005,0.88,0.177,0.898,12779,66.552
Paraguay,6,5.779,0.896,0.714,0.774,0.445,0.178,0.834,0.193,0.755,4535,62.655
Peru,6,5.776,0.777,0.744,0.861,0.202,-0.109,0.779,0.353,0.776,8514,61.715
Philippines,3,4.985,0.805,0.901,0.788,0.304,0.054,0.864,0.339,0.913,3550,60.298
Poland,1,5.822,0.937,0.818,0.904,0.327,-0.034,0.747,0.24,0.64,17178,66.591
Portugal,0,5.101,0.862,0.772,0.954,0.247,-0.131,0.734,0.295,0.779,21471,70.877
Qatar,8,6.666,0.845,0.918,0.14,0.56,0.096,0.763,0.324,0.833,72892,66.013
Romania,1,5.033,0.727,0.62,0.966,0.226,-0.103,0.565,0.327,0.47,10864,64.386
Russia,2,5.464,0.901,0.615,0.941,0.06,-0.288,0.599,0.171,0.484,14103,59.729
Rwanda,9,3.715,0.603,0.832,0.115,0.131,-0.035,0.684,0.143,0.708,1105,39.229
Saudi Arabia,8,6.48,0.852,0.624,0.451,0.301,-0.074,0.702,0.251,0.689,20546,62.183
Senegal,9,3.959,0.691,0.695,0.857,0.102,-0.096,0.764,0.179,0.775,1730,48.976
Serbia,1,4.813,0.773,0.455,0.964,0.152,-0.169,0.531,0.399,0.614,9634,62.551
Sierra Leone,9,4.318,0.797,0.748,0.884,0.156,0,0.48,0.295,0.518,949,29.616
Singapore,3,6.546,0.884,0.834,0.075,0.35,-0.086,0.542,0.138,0.572,49219,71.11
Slovakia,1,5.969,0.921,0.663,0.908,0.316,-0.057,0.653,0.289,0.589,20130,67.308
Slovenia,1,6.06,0.924,0.902,0.874,0.366,-0.022,0.66,0.288,0.733,24943,70.585
Somaliland,9,4.847,0.798,0.823,0.398,0.443,0.285,0.75,0.12,0.794,979,43.343
South Africa,9,4.963,0.897,0.689,0.821,0.132,-0.188,0.77,0.178,0.741,9552,45.275
South Korea,5,6.267,0.8,0.659,0.819,0.334,-0.057,0.661,0.178,0.608,26789,69.235
Spain,0,6.322,0.942,0.781,0.842,0.272,-0.11,0.74,0.353,0.804,26972,73.647
Sri Lanka,4,4.151,0.826,0.79,0.793,0.474,0.199,0.844,0.183,0.848,4689,61.951
Sudan,9,4.401,0.818,0.57,0.727,0.173,-0.036,0.604,0.241,0.606,1999,49.413
Suriname,6,6.269,0.797,0.885,0.751,0.25,-0.051,0.764,0.25,0.656,7378,61.977
Swaziland,9,4.867,0.837,0.607,0.92,0.2,-0.079,0.821,0.251,0.815,5338,40.925
Sweden,0,7.48,0.94,0.93,0.226,0.544,0.134,0.834,0.183,0.791,33869,74.213
Switzerland,0,7.65,0.943,0.918,0.319,0.55,0.129,0.859,0.176,0.907,39476,73.561
Syria,8,3.892,0.655,0.55,0.731,0.364,0.051,0.545,0.501,0.51,4714,61.94
Taiwan,5,6.221,0.84,0.712,0.803,0.413,0.009,0.831,0.129,0.815,30463,66.579
Tajikistan,2,4.38,0.746,0.769,0.685,0.139,-0.067,0.686,0.185,0.751,1945,55.42
Tanzania,9,3.77,0.842,0.637,0.857,0.276,0.098,0.72,0.162,0.708,1291,48.695
Thailand,3,6.371,0.899,0.87,0.918,0.738,0.435,0.886,0.143,0.936,7526,60.477
Togo,9,2.936,0.303,0.584,0.84,0.069,-0.084,0.48,0.395,0.362,902,46.133
Trinidad and Tobago,6,6.519,0.863,0.775,0.904,0.438,0.055,0.906,0.134,0.907,23172,62.805
Tunisia,8,4.826,0.705,0.598,0.846,0.116,-0.194,0.59,0.28,0.571,8351,62.922
Turkey,8,5.345,0.741,0.475,0.71,0.126,-0.214,0.64,0.344,0.707,12789,62.912
Turkmenistan,2,5.628,0.955,0.786,0.597,0.235,-0.071,0.612,0.12,0.596,7831,54.837
Uganda,9,4.443,0.866,0.728,0.843,0.201,0.032,0.693,0.257,0.71,1152,44.821
Ukraine,2,5.057,0.88,0.542,0.934,0.087,-0.2,0.558,0.213,0.47,6052,61.601
United Arab Emirates,8,7.144,0.878,0.895,0.355,0.472,0.044,0.765,0.223,0.764,43295,64.545
United Kingdom,0,6.883,0.947,0.887,0.448,0.744,0.339,0.845,0.18,0.873,32797,71.645
United States,7,7.082,0.917,0.834,0.698,0.621,0.191,0.844,0.254,0.877,42068,69.689
Uruguay,6,6.355,0.883,0.852,0.537,0.273,-0.066,0.8,0.232,0.75,12538,66.434
Uzbekistan,2,5.623,0.92,0.924,0.597,0.226,-0.005,0.783,0.131,0.786,2756,60.176
Venezuela,6,7.039,0.931,0.78,0.755,0.136,-0.196,0.849,0.168,0.808,11182,65.104
Vietnam,3,5.533,0.809,0.841,0.766,0.211,-0.024,0.613,0.213,0.637,2905,62.188
Yemen,8,4.054,0.683,0.668,0.836,0.08,-0.142,0.518,0.281,0.551,2235,50.78
Zambia,9,5.006,0.822,0.726,0.846,0.211,0.027,0.78,0.227,0.792,1416,37.099
Zimbabwe,9,4.827,0.873,0.59,0.842,0.094,0.018,0.733,0.17,0.728,309,37.14
